Time,Time,System Demand,Tie-Line,Frequency
3/6/2026 17:25,17:25,18738.85,108.16,50.02
3/6/2026 17:26,17:26,18751.21,80.64,50.02
3/6/2026 17:27,17:27,18739.43,80.32,50.01
3/6/2026 17:28,17:28,18771.59,57.28,49.98
3/6/2026 17:29,17:29,18698.91,79.36,49.99
3/6/2026 17:30,17:30,18678.16,112,50.01
3/6/2026 17:31,17:31,18683.19,80,50.01
3/6/2026 17:32,17:32,18659.56,95.04,50.02
3/6/2026 17:33,17:33,18690.96,68.16,50.01
3/6/2026 17:34,17:34,18674.65,67.84,50.01
3/6/2026 17:35,17:35,18649.68,68.8,50.02
3/6/2026 17:36,17:36,18667.83,58.56,50.02
3/6/2026 17:37,17:37,18643.88,88.64,50
3/6/2026 17:38,17:38,18637.74,75.84,49.97
3/6/2026 17:39,17:39,18623.27,75.52,49.98
3/6/2026 17:40,17:40,18627.83,73.6,49.97
3/6/2026 17:41,17:41,18631.95,70.72,49.96
3/6/2026 17:42,17:42,18612.16,101.12,49.96
3/6/2026 17:43,17:43,18665.48,50.56,49.96
3/6/2026 17:44,17:44,18658.25,74.56,49.96
3/6/2026 17:45,17:45,18644.78,53.76,49.96
3/6/2026 17:46,17:46,18646.09,68.8,49.96
3/6/2026 17:47,17:47,18629.47,54.4,49.96
3/6/2026 17:48,17:48,18673.13,50.24,49.96
3/6/2026 17:49,17:49,18627.57,101.44,49.97
3/6/2026 17:50,17:50,18597.86,126.72,49.97
3/6/2026 17:51,17:51,18627.2,114.24,49.97
3/6/2026 17:52,17:52,18591.58,117.12,49.98
3/6/2026 17:53,17:53,18624.79,87.36,49.96
3/6/2026 17:54,17:54,18625.6,82.88,49.98
3/6/2026 17:55,17:55,18610.8,102.08,50.01
3/6/2026 17:56,17:56,18611.94,84.16,49.99
3/6/2026 17:57,17:57,18614.39,88,49.98
3/6/2026 17:58,17:58,18564.54,100.16,50.02
3/6/2026 17:59,17:59,18591.01,92.16,49.98
3/6/2026 18:00,18:00,18566.67,100.16,50.02
3/6/2026 18:01,18:01,18510.85,119.36,50.03
3/6/2026 18:02,18:02,18501.03,106.88,50.03
3/6/2026 18:03,18:03,18490.14,97.28,50.04
3/6/2026 18:04,18:04,18512.13,83.84,50.03
3/6/2026 18:05,18:05,17317.24,623.36,50.19
3/6/2026 18:06,18:06,17329.5,584.32,50.19
3/6/2026 18:07,18:07,17359.81,546.24,50.19
3/6/2026 18:08,18:08,17409.33,460.8,50.15
3/6/2026 18:09,18:09,17545.66,207.68,50.14
3/6/2026 18:10,18:10,17589.51,82.24,50.11
3/6/2026 18:11,18:11,17589.41,33.28,50.08
3/6/2026 18:12,18:12,17627.08,14.08,50.05
3/6/2026 18:13,18:13,17661.56,-14.08,50
3/6/2026 18:14,18:14,17718.97,-21.44,49.96
3/6/2026 18:15,18:15,17724.2,13.12,49.96
3/6/2026 18:16,18:16,17733.98,102.72,50
3/6/2026 18:17,18:17,17776.23,84.16,50.01
3/6/2026 18:18,18:18,17764.15,116.16,50.04
3/6/2026 18:19,18:19,17860.07,68.16,50.04
3/6/2026 18:20,18:20,17818.97,79.68,50.05
3/6/2026 18:21,18:21,17843.58,65.92,50.04
3/6/2026 18:22,18:22,17833.92,81.6,50.04
3/6/2026 18:23,18:23,17867.58,64.64,50.03
3/6/2026 18:24,18:24,17918.79,20.16,50.03
3/6/2026 18:25,18:25,17864.86,65.6,50.01
3/6/2026 18:26,18:26,17857.75,53.76,50.03
3/6/2026 18:27,18:27,17887.14,35.2,50
3/6/2026 18:28,18:28,17881.81,27.2,49.98
3/6/2026 18:29,18:29,17923.22,-8.64,49.97
