Time,Tie-Line
03/06/2026 17:25,108.16
03/06/2026 17:26,80.64
03/06/2026 17:27,80.32
03/06/2026 17:28,57.28
03/06/2026 17:29,79.36
03/06/2026 17:30,112
03/06/2026 17:31,80
03/06/2026 17:32,95.04
03/06/2026 17:33,68.16
03/06/2026 17:34,67.84
03/06/2026 17:35,68.8
03/06/2026 17:36,58.56
03/06/2026 17:37,88.64
03/06/2026 17:38,75.84
03/06/2026 17:39,75.52
03/06/2026 17:40,73.6
03/06/2026 17:41,70.72
03/06/2026 17:42,101.12
03/06/2026 17:43,50.56
03/06/2026 17:44,74.56
03/06/2026 17:45,53.76
03/06/2026 17:46,68.8
03/06/2026 17:47,54.4
03/06/2026 17:48,50.24
03/06/2026 17:49,101.44
03/06/2026 17:50,126.72
03/06/2026 17:51,114.24
03/06/2026 17:52,117.12
03/06/2026 17:53,87.36
03/06/2026 17:54,82.88
03/06/2026 17:55,102.08
03/06/2026 17:56,84.16
03/06/2026 17:57,88
03/06/2026 17:58,100.16
03/06/2026 17:59,92.16
03/06/2026 18:00,100.16
03/06/2026 18:01,119.36
03/06/2026 18:02,106.88
03/06/2026 18:03,97.28
03/06/2026 18:04,83.84
03/06/2026 18:05,623.36
03/06/2026 18:06,584.32
03/06/2026 18:07,546.24
03/06/2026 18:08,460.8
03/06/2026 18:09,207.68
03/06/2026 18:10,82.24
03/06/2026 18:11,33.28
03/06/2026 18:12,14.08
03/06/2026 18:13,-14.08
03/06/2026 18:14,-21.44
03/06/2026 18:15,13.12
03/06/2026 18:16,102.72
03/06/2026 18:17,84.16
03/06/2026 18:18,116.16
03/06/2026 18:19,68.16
03/06/2026 18:20,79.68
03/06/2026 18:21,65.92
03/06/2026 18:22,81.6
03/06/2026 18:23,64.64
03/06/2026 18:24,20.16
03/06/2026 18:25,65.6
03/06/2026 18:26,53.76
03/06/2026 18:27,35.2
03/06/2026 18:28,27.2
03/06/2026 18:29,-8.64
