Time,Frequency
03/06/2026 17:25,50.02
03/06/2026 17:26,50.02
03/06/2026 17:27,50.01
03/06/2026 17:28,49.98
03/06/2026 17:29,49.99
03/06/2026 17:30,50.01
03/06/2026 17:31,50.01
03/06/2026 17:32,50.02
03/06/2026 17:33,50.01
03/06/2026 17:34,50.01
03/06/2026 17:35,50.02
03/06/2026 17:36,50.02
03/06/2026 17:37,50
03/06/2026 17:38,49.97
03/06/2026 17:39,49.98
03/06/2026 17:40,49.97
03/06/2026 17:41,49.96
03/06/2026 17:42,49.96
03/06/2026 17:43,49.96
03/06/2026 17:44,49.96
03/06/2026 17:45,49.96
03/06/2026 17:46,49.96
03/06/2026 17:47,49.96
03/06/2026 17:48,49.96
03/06/2026 17:49,49.97
03/06/2026 17:50,49.97
03/06/2026 17:51,49.97
03/06/2026 17:52,49.98
03/06/2026 17:53,49.96
03/06/2026 17:54,49.98
03/06/2026 17:55,50.01
03/06/2026 17:56,49.99
03/06/2026 17:57,49.98
03/06/2026 17:58,50.02
03/06/2026 17:59,49.98
03/06/2026 18:00,50.02
03/06/2026 18:01,50.03
03/06/2026 18:02,50.03
03/06/2026 18:03,50.04
03/06/2026 18:04,50.03
03/06/2026 18:05,50.19
03/06/2026 18:06,50.19
03/06/2026 18:07,50.19
03/06/2026 18:08,50.15
03/06/2026 18:09,50.14
03/06/2026 18:10,50.11
03/06/2026 18:11,50.08
03/06/2026 18:12,50.05
03/06/2026 18:13,50
03/06/2026 18:14,49.96
03/06/2026 18:15,49.96
03/06/2026 18:16,50
03/06/2026 18:17,50.01
03/06/2026 18:18,50.04
03/06/2026 18:19,50.04
03/06/2026 18:20,50.05
03/06/2026 18:21,50.04
03/06/2026 18:22,50.04
03/06/2026 18:23,50.03
03/06/2026 18:24,50.03
03/06/2026 18:25,50.01
03/06/2026 18:26,50.03
03/06/2026 18:27,50
03/06/2026 18:28,49.98
03/06/2026 18:29,49.97
